"","x"
"1714",0
"1715",0
"1716",0
"1717",4
"1718",1
"1719",16
"1720",0
"1721",0
"1722",10
"1723",0
"1724",2
"1725",0
"1726",6
"1727",0
"1728",5
"1729",0
"1730",0
"1731",0
"1732",0
"1733",0
"1734",20
"1735",0
"1736",5
"1737",1
"1738",0
"1739",0
"1740",0
"1741",0
"1742",0
"1743",0
"1744",0
"1745",2
"1746",0
"1747",0
"1748",0
"1749",1
"1750",1
"1751",0
"1752",1
"1753",0
"1754",6
"1755",0
"1756",0
"1757",0
"1758",2
"1759",0
"1760",2
"1761",0
"1762",0
"1763",11
"1764",0
"1765",2
"1766",0
"1767",2
"1768",0
"1769",2
"1770",0
"1771",0
"1772",0
"1773",1
"1774",0
"1775",1
"1776",2
"1777",2
"1778",1
"1779",2
"1780",0
"1781",0
"1782",0
"1783",6
"1784",1
"1785",0
"1786",0
"1787",0
"1788",2
"1789",0
"1790",0
"1791",6
"1792",0
"1793",0
"1794",0
"1795",0
"1796",0
"1797",0
"1798",0
"1799",0
"1800",0
"1801",2
"1802",0
"1803",0
"1804",0
"1805",0
"1806",2
"1807",0
"1808",1
"1809",1
"1810",1
"1811",6
"1812",2
"1813",1
"1814",5
"1815",0
"1816",0
"1817",0
"1818",0
"1819",0
"1820",0
"1821",0
"1822",2
"1823",5
"1824",0
"1825",1
"1826",0
"1827",0
"1828",1
"1829",0
"1830",2
"1831",5
"1832",0
"1833",0
"1834",0
"1835",8
"1836",0
"1837",3
"1838",0
"1839",0
"1840",0
"1841",1
"1842",0
"1843",4
"1844",0
"1845",0
"1846",0
"1847",10
"1848",0
"1849",8
"1850",24
"1851",0
"1852",0
"1853",0
"1854",0
"1855",0
"1856",5
"1857",0
"1858",1
"1859",0
"1860",0
"1861",10
"1862",1
"1863",0
"1864",1
"1865",10
"1866",0
"1867",1
"1868",0
"1869",0
"1870",4
"1871",5
"1872",0
"1873",0
"1874",11
"1875",3
"1876",0
"1877",0
"1878",0
"1879",2
"1880",0
"1881",0
"1882",0
"1883",2
"1884",0
"1885",11
"1886",0
"1887",0
"1888",1
"1889",0
"1890",8
"1891",0
"1892",0
"1893",0
"1894",0
"1895",0
"1896",0
"1897",2
"1898",1
"1899",0
"1900",6
"1901",0
"1902",0
"1903",0
"1904",1
"1905",5
"1906",0
"1907",0
"1908",5
"1909",0
"1910",0
"1911",1
"1912",0
"1913",1
"1914",1
"1915",11
"1916",1
"1917",0
"1918",1
"1919",0
"1920",1
"1921",0
"1922",0
"1923",0
"1924",0
"1925",2
"1926",1
"1927",1
"1928",0
"1929",4
"1930",0
"1931",16
"1932",0
"1933",0
"1934",2
"1935",1
"1936",0
"1937",0
"1938",0
"1939",0
"1940",5
"1941",0
"1942",7
"1943",1
"1944",1
"1945",0
"1946",0
"1947",0
"1948",0
"1949",2
"1950",0
"1951",0
"1952",1
"1953",0
"1954",0
"1955",2
"1956",0
"1957",0
"1958",0
"1959",3
